Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,QR_ID,Owner_ID,Vehicle_Number,Masked_Contact,Registered_City,Anonymous_Notification,Emergency_Escalation
INC0024,Van,School Zone,Kochi,Gate Blockage,Yes,Critical,2026-05-26 14:53:55.447717,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0012,QR0012,USER0012,TN10AB7842,98XXXX8679,Pune,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Escalation Required
INC0025,Van,Hospital Entrance,Chennai,Roadside Congestion,No,Critical,2026-05-23 19:49:55.447722,65,Medium Priority,Standard obstruction resolution workflow,QR0252,QR0252,USER0252,TN82AB8357,98XXXX4448,Kochi,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Standard Workflow
INC0026,Two Wheeler,Narrow Lane,Kochi,Gate Blockage,Yes,Critical,2026-05-26 05:59:55.447727,85,High Priority,Urgent owner notification required,QR0190,QR0190,USER0190,TN94AB4134,98XXXX4402,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Standard Workflow
INC0027,Mini Truck,School Zone,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-22 07:25:55.447732,80,High Priority,Urgent owner notification required,QR0205,QR0205,USER0205,TN90AB1427,98XXXX2962,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow
INC0028,Mini Truck,Pedestrian Sidewalk,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-25 23:33:55.447736,70,Medium Priority,Standard obstruction resolution workflow,QR0101,QR0101,USER0101,TN54AB8368,98XXXX4128,Bangalore,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0029,Taxi,Commercial Complex,Kochi,Gate Blockage,Yes,Critical,2026-05-26 06:22:55.447741,105,High Priority,Urgent owner notification required,QR0263,QR0263,USER0263,TN75AB1039,98XXXX8699,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Standard Workflow
INC0030,Two Wheeler,School Zone,Hyderabad,Roadside Congestion,No,Low,2026-05-22 00:15:55.447745,65,Medium Priority,Standard obstruction resolution workflow,QR0068,QR0068,USER0068,TN79AB6179,98XXXX4206,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near School Zone.,Standard Workflow
INC0031,Mini Truck,School Zone,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-21 23:02:55.447750,80,High Priority,Urgent owner notification required,QR0072,QR0072,USER0072,TN90AB6118,98XXXX1210,Bangalore,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow
INC0032,Car,Pedestrian Sidewalk,Chennai,Illegal Parking,Yes,Critical,2026-05-20 20:11:55.447755,70,Medium Priority,Standard obstruction resolution workflow,QR0245,QR0245,USER0245,TN71AB3793,98XXXX8517,Chennai,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0033,Two Wheeler,Pedestrian Sidewalk,Bangalore,Gate Blockage,No,Medium,2026-05-24 15:01:55.447759,40,Low Priority,Low urgency monitoring,QR0191,QR0191,USER0191,TN62AB3533,98XXXX2680,Mumbai,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Standard Workflow
INC0034,Mini Truck,Apartment Gate,Kochi,Roadside Congestion,Yes,Critical,2026-05-24 15:44:55.447764,90,High Priority,Urgent owner notification required,QR0003,QR0003,USER0003,TN59AB4791,98XXXX2815,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow
INC0035,Two Wheeler,Emergency Exit,Delhi,Gate Blockage,Yes,Critical,2026-05-22 09:43:55.447768,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0212,QR0212,USER0212,TN61AB2660,98XXXX2707,Chennai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
INC0036,Mini Truck,Traffic Junction,Chennai,Emergency Access Blocked,No,Critical,2026-05-24 07:10:55.447773,75,Medium Priority,Standard obstruction resolution workflow,QR0214,QR0214,USER0214,TN86AB4368,98XXXX3577,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow
INC0037,Auto Rickshaw,School Zone,Kochi,Gate Blockage,Yes,Critical,2026-05-27 01:25:55.447777,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0035,QR0035,USER0035,TN56AB8752,98XXXX4643,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Escalation Required
INC0038,Two Wheeler,Commercial Complex,Delhi,Illegal Parking,Yes,Critical,2026-05-20 23:25:55.447782,90,High Priority,Urgent owner notification required,QR0248,QR0248,USER0248,TN69AB1977,98XXXX6140,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Standard Workflow
INC0039,Van,School Zone,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-25 01:05:55.447787,95,High Priority,Urgent owner notification required,QR0009,QR0009,USER0009,TN32AB2204,98XXXX8282,Bangalore,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow
INC0040,Taxi,Residential Street,Mumbai,Gate Blockage,Yes,Critical,2026-05-21 23:00:55.447791,85,High Priority,Urgent owner notification required,QR0230,QR0230,USER0230,TN74AB8526,98XXXX6870,Kochi,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow
INC0041,Taxi,Emergency Exit,Chennai,Pedestrian Path Obstructed,No,Critical,2026-05-23 12:57:55.447796,95,High Priority,Urgent owner notification required,QR0284,QR0284,USER0284,TN72AB3160,98XXXX2345,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0042,Taxi,Hospital Entrance,Hyderabad,Gate Blockage,No,Critical,2026-05-23 15:23:55.447801,80,High Priority,Urgent owner notification required,QR0111,QR0111,USER0111,TN92AB6114,98XXXX2834,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow
INC0043,Auto Rickshaw,Emergency Exit,Bangalore,Illegal Parking,Yes,Critical,2026-05-23 04:38:55.447805,110,High Priority,Urgent owner notification required,QR0020,QR0020,USER0020,TN55AB5357,98XXXX4086,Kochi,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0044,Van,Hospital Entrance,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 21:33:55.447810,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0022,QR0022,USER0022,TN72AB7050,98XXXX5575,Delhi,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required
INC0045,Taxi,Narrow Lane,Bangalore,Illegal Parking,Yes,Critical,2026-05-21 00:57:55.447815,70,Medium Priority,Standard obstruction resolution workflow,QR0265,QR0265,USER0265,TN88AB8440,98XXXX3413,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Standard Workflow
INC0046,Car,Hospital Entrance,Mumbai,Illegal Parking,No,Critical,2026-05-23 10:24:55.447820,65,Medium Priority,Standard obstruction resolution workflow,QR0271,QR0271,USER0271,TN43AB7000,98XXXX5731,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Standard Workflow
INC0047,Mini Truck,Apartment Gate,Mumbai,Commercial Entrance Blocked,No,Medium,2026-05-25 19:33:55.447825,60,Medium Priority,Standard obstruction resolution workflow,QR0101,QR0101,USER0101,TN54AB8368,98XXXX4128,Bangalore,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow
INC0048,Van,Residential Street,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-23 16:12:55.447829,100,High Priority,Urgent owner notification required,QR0004,QR0004,USER0004,TN31AB9962,98XXXX5910,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow
INC0049,Mini Truck,Traffic Junction,Hyderabad,Commercial Entrance Blocked,No,Medium,2026-05-21 13:00:55.447834,60,Medium Priority,Standard obstruction resolution workflow,QR0235,QR0235,USER0235,TN53AB2786,98XXXX1993,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow
INC0050,Taxi,Traffic Junction,Bangalore,Roadside Congestion,No,Low,2026-05-21 05:54:55.447839,45,Low Priority,Low urgency monitoring,QR0113,QR0113,USER0113,TN32AB5665,98XXXX1715,Mumbai,[INFO] Minor obstruction reported near Traffic Junction.,Standard Workflow
INC0051,Mini Truck,Emergency Exit,Delhi,Emergency Access Blocked,Yes,Critical,2026-05-20 20:46:55.447843,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0286,QR0286,USER0286,TN91AB7629,98XXXX3694,Kochi,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
INC0052,Auto Rickshaw,Apartment Gate,Pune,Illegal Parking,No,Low,2026-05-21 10:02:55.447848,45,Low Priority,Low urgency monitoring,QR0009,QR0009,USER0009,TN32AB2204,98XXXX8282,Bangalore,[INFO] Minor obstruction reported near Apartment Gate.,Standard Workflow
INC0053,Two Wheeler,Residential Street,Mumbai,Gate Blockage,Yes,Critical,2026-05-24 23:06:55.447853,85,High Priority,Urgent owner notification required,QR0222,QR0222,USER0222,TN36AB5727,98XXXX4919,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow
INC0054,Taxi,Pedestrian Sidewalk,Mumbai,Illegal Parking,Yes,Critical,2026-05-21 11:43:55.447857,70,Medium Priority,Standard obstruction resolution workflow,QR0131,QR0131,USER0131,TN56AB7762,98XXXX4572,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0055,Two Wheeler,Commercial Complex,Chennai,Roadside Congestion,No,Low,2026-05-22 21:05:55.447862,45,Low Priority,Low urgency monitoring,QR0159,QR0159,USER0159,TN80AB5194,98XXXX9649,Pune,[INFO] Minor obstruction reported near Commercial Complex.,Standard Workflow
INC0056,Taxi,School Zone,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-24 16:16:55.447867,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0082,QR0082,USER0082,TN40AB7393,98XXXX6333,Pune,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Escalation Required
INC0057,Car,Hospital Entrance,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-26 14:47:55.447871,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0215,QR0215,USER0215,TN45AB5589,98XXXX8774,Hyderabad,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required
INC0058,Van,Shop Entrance,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-26 13:26:55.447876,55,Medium Priority,Standard obstruction resolution workflow,QR0298,QR0298,USER0298,TN37AB1212,98XXXX9115,Kochi,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Standard Workflow
INC0059,Auto Rickshaw,Pedestrian Sidewalk,Mumbai,Emergency Access Blocked,Yes,Critical,2026-05-26 17:12:55.447880,100,High Priority,Urgent owner notification required,QR0156,QR0156,USER0156,TN21AB4555,98XXXX5480,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Standard Workflow
INC0060,Auto Rickshaw,Apartment Gate,Hyderabad,Illegal Parking,No,Low,2026-05-20 22:15:55.447885,45,Low Priority,Low urgency monitoring,QR0156,QR0156,USER0156,TN21AB4555,98XXXX5480,Pune,[INFO] Minor obstruction reported near Apartment Gate.,Standard Workflow
INC0061,Van,Residential Street,Hyderabad,Gate Blockage,No,Medium,2026-05-22 23:32:55.447890,40,Low Priority,Low urgency monitoring,QR0188,QR0188,USER0188,TN64AB3375,98XXXX6117,Mumbai,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow
INC0062,Van,Pedestrian Sidewalk,Bangalore,Gate Blockage,Yes,Critical,2026-05-21 07:30:55.447895,85,High Priority,Urgent owner notification required,QR0038,QR0038,USER0038,TN36AB1428,98XXXX7919,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Standard Workflow
INC0063,Auto Rickshaw,Emergency Exit,Bangalore,Roadside Congestion,Yes,Critical,2026-05-21 10:16:55.447899,110,High Priority,Urgent owner notification required,QR0206,QR0206,USER0206,TN50AB7725,98XXXX3129,Bangalore,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow
INC0064,Auto Rickshaw,Emergency Exit,Kochi,Pedestrian Path Obstructed,Yes,Critical,2026-05-27 01:03:55.447904,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0014,QR0014,USER0014,TN59AB5865,98XXXX6441,Pune,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
INC0065,Car,Pedestrian Sidewalk,Mumbai,Roadside Congestion,No,Low,2026-05-23 07:58:55.447909,25,Low Priority,Low urgency monitoring,QR0073,QR0073,USER0073,TN21AB5640,98XXXX1245,Delhi,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Standard Workflow
INC0066,Two Wheeler,Traffic Junction,Kochi,Commercial Entrance Blocked,Yes,Critical,2026-05-27 07:07:55.447914,105,High Priority,Urgent owner notification required,QR0146,QR0146,USER0146,TN39AB8432,98XXXX2866,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Standard Workflow
INC0067,Taxi,Emergency Exit,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-23 10:16:55.447918,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0105,QR0105,USER0105,TN85AB2594,98XXXX1897,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
INC0068,Mini Truck,Commercial Complex,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-24 01:39:55.447924,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0064,QR0064,USER0064,TN73AB6950,98XXXX2953,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Escalation Required
INC0069,Taxi,Traffic Junction,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-21 12:21:55.447928,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0107,QR0107,USER0107,TN73AB2887,98XXXX8069,Mumbai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Escalation Required
INC0070,Auto Rickshaw,Residential Street,Pune,Commercial Entrance Blocked,No,Medium,2026-05-23 17:50:55.447933,40,Low Priority,Low urgency monitoring,QR0169,QR0169,USER0169,TN91AB2764,98XXXX5000,Delhi,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow
INC0071,Taxi,Apartment Gate,Kochi,Pedestrian Path Obstructed,No,Low,2026-05-26 10:06:55.447937,75,Medium Priority,Standard obstruction resolution workflow,QR0036,QR0036,USER0036,TN83AB7532,98XXXX3853,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow
INC0072,Car,Pedestrian Sidewalk,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-23 17:29:55.447942,70,Medium Priority,Standard obstruction resolution workflow,QR0081,QR0081,USER0081,TN50AB8042,98XXXX4599,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow
INC0073,Mini Truck,Commercial Complex,Bangalore,Pedestrian Path Obstructed,Yes,Critical,2026-05-27 12:39:55.447946,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0116,QR0116,USER0116,TN83AB6894,98XXXX7308,Hyderabad,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Escalation Required
INC0074,Van,Residential Street,Delhi,Gate Blockage,Yes,Critical,2026-05-24 21:51:55.447952,85,High Priority,Urgent owner notification required,QR0216,QR0216,USER0216,TN77AB3090,98XXXX7614,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow
INC0075,Auto Rickshaw,Apartment Gate,Chennai,Commercial Entrance Blocked,Yes,Critical,2026-05-23 15:06:55.447956,105,High Priority,Urgent owner notification required,QR0290,QR0290,USER0290,TN56AB3477,98XXXX8551,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow
INC0076,Van,School Zone,Chennai,Roadside Congestion,Yes,Critical,2026-05-23 00:01:55.447961,110,High Priority,Urgent owner notification required,QR0226,QR0226,USER0226,TN32AB3402,98XXXX8818,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow
INC0077,Auto Rickshaw,Apartment Gate,Bangalore,Commercial Entrance Blocked,No,Medium,2026-05-22 11:08:55.447966,60,Medium Priority,Standard obstruction resolution workflow,QR0005,QR0005,USER0005,TN70AB3353,98XXXX5127,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow
INC0078,Van,Shop Entrance,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-26 08:13:55.447970,55,Medium Priority,Standard obstruction resolution workflow,QR0292,QR0292,USER0292,TN84AB5772,98XXXX7698,Chennai,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Standard Workflow
INC0079,Two Wheeler,Apartment Gate,Mumbai,Emergency Access Blocked,Yes,Critical,2026-05-26 11:45:55.447975,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0047,QR0047,USER0047,TN25AB1204,98XXXX1175,Hyderabad,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Escalation Required
INC0080,Taxi,Traffic Junction,Delhi,Commercial Entrance Blocked,No,Medium,2026-05-22 07:46:55.447980,60,Medium Priority,Standard obstruction resolution workflow,QR0002,QR0002,USER0002,TN15AB8007,98XXXX6904,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow
INC0081,Auto Rickshaw,Residential Street,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-22 23:58:55.447984,100,High Priority,Urgent owner notification required,QR0034,QR0034,USER0034,TN87AB9357,98XXXX2834,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow
INC0082,Taxi,Apartment Gate,Mumbai,Roadside Congestion,Yes,Critical,2026-05-25 08:09:55.447989,90,High Priority,Urgent owner notification required,QR0172,QR0172,USER0172,TN36AB9109,98XXXX1731,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow
INC0083,Taxi,Emergency Exit,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-27 01:08:55.447994,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0001,QR0001,USER0001,TN92AB6556,98XXXX3539,Hyderabad,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required
INC0084,Mini Truck,Narrow Lane,Pune,Emergency Access Blocked,Yes,Critical,2026-05-26 16:29:55.447999,100,High Priority,Urgent owner notification required,QR0015,QR0015,USER0015,TN97AB1989,98XXXX7874,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Standard Workflow
