Incident_ID,Assigned_QR_ID,Vehicle_Number,Masked_Contact,AI_Priority_Level,Emergency_Escalation,Anonymous_Notification,Communication_Status
INC0045,QR0265,TN88AB8440,98XXXX3413,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0046,QR0271,TN43AB7000,98XXXX5731,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Notification Sent
INC0047,QR0101,TN54AB8368,98XXXX4128,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0048,QR0004,TN31AB9962,98XXXX5910,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0049,QR0235,TN53AB2786,98XXXX1993,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0050,QR0113,TN32AB5665,98XXXX1715,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Traffic Junction.,Notification Sent
INC0051,QR0286,TN91AB7629,98XXXX3694,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0052,QR0009,TN32AB2204,98XXXX8282,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
INC0053,QR0222,TN36AB5727,98XXXX4919,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0054,QR0131,TN56AB7762,98XXXX4572,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0055,QR0159,TN80AB5194,98XXXX9649,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Commercial Complex.,Notification Sent
INC0056,QR0082,TN40AB7393,98XXXX6333,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0057,QR0215,TN45AB5589,98XXXX8774,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0058,QR0298,TN37AB1212,98XXXX9115,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0059,QR0156,TN21AB4555,98XXXX5480,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0060,QR0156,TN21AB4555,98XXXX5480,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
INC0061,QR0188,TN64AB3375,98XXXX6117,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0062,QR0038,TN36AB1428,98XXXX7919,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0063,QR0206,TN50AB7725,98XXXX3129,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0064,QR0014,TN59AB5865,98XXXX6441,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0065,QR0073,TN21AB5640,98XXXX1245,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0066,QR0146,TN39AB8432,98XXXX2866,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0067,QR0105,TN85AB2594,98XXXX1897,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0068,QR0064,TN73AB6950,98XXXX2953,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Priority Alert Sent
INC0069,QR0107,TN73AB2887,98XXXX8069,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0070,QR0169,TN91AB2764,98XXXX5000,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0071,QR0036,TN83AB7532,98XXXX3853,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0072,QR0081,TN50AB8042,98XXXX4599,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0073,QR0116,TN83AB6894,98XXXX7308,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Priority Alert Sent
INC0074,QR0216,TN77AB3090,98XXXX7614,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0075,QR0290,TN56AB3477,98XXXX8551,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0076,QR0226,TN32AB3402,98XXXX8818,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0077,QR0005,TN70AB3353,98XXXX5127,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0078,QR0292,TN84AB5772,98XXXX7698,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0079,QR0047,TN25AB1204,98XXXX1175,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0080,QR0002,TN15AB8007,98XXXX6904,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0081,QR0034,TN87AB9357,98XXXX2834,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0082,QR0172,TN36AB9109,98XXXX1731,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0083,QR0001,TN92AB6556,98XXXX3539,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Priority Alert Sent
INC0084,QR0015,TN97AB1989,98XXXX7874,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0085,QR0291,TN33AB1200,98XXXX2837,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0086,QR0254,TN65AB7553,98XXXX8735,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0087,QR0297,TN59AB7073,98XXXX8124,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Priority Alert Sent
INC0088,QR0179,TN13AB6257,98XXXX9304,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Notification Sent
INC0089,QR0050,TN76AB9772,98XXXX6762,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0090,QR0283,TN37AB4042,98XXXX2837,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0091,QR0108,TN75AB2096,98XXXX4266,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0092,QR0050,TN76AB9772,98XXXX6762,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0093,QR0138,TN67AB7787,98XXXX5537,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0094,QR0178,TN56AB8107,98XXXX8933,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0095,QR0211,TN83AB8622,98XXXX7151,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0096,QR0051,TN35AB1983,98XXXX1439,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0097,QR0110,TN22AB2298,98XXXX8173,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Notification Sent
INC0098,QR0109,TN53AB5426,98XXXX3720,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0099,QR0273,TN95AB8308,98XXXX5062,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0100,QR0021,TN40AB8389,98XXXX4246,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Commercial Complex. Immediate attention required.,Priority Alert Sent
INC0101,QR0002,TN15AB8007,98XXXX6904,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0102,QR0097,TN23AB1118,98XXXX3517,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Shop Entrance.,Notification Sent
INC0103,QR0276,TN38AB4703,98XXXX5604,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0104,QR0045,TN91AB5689,98XXXX1280,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0105,QR0221,TN58AB1186,98XXXX9459,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
INC0106,QR0134,TN31AB8777,98XXXX8234,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near School Zone.,Notification Sent
INC0107,QR0185,TN42AB2135,98XXXX9291,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0108,QR0231,TN17AB6009,98XXXX8527,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0109,QR0026,TN11AB9593,98XXXX2079,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0110,QR0181,TN45AB5940,98XXXX7343,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Notification Sent
INC0111,QR0114,TN54AB2076,98XXXX9231,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0112,QR0111,TN92AB6114,98XXXX2834,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0113,QR0186,TN42AB7608,98XXXX6962,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0114,QR0182,TN89AB1511,98XXXX2358,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0115,QR0042,TN92AB9861,98XXXX2195,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0116,QR0172,TN36AB9109,98XXXX1731,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Narrow Lane. Please respond urgently.,Notification Sent
INC0117,QR0124,TN45AB7525,98XXXX2304,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Notification Sent
INC0118,QR0223,TN66AB4292,98XXXX6901,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0119,QR0063,TN44AB3526,98XXXX5665,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0120,QR0122,TN46AB3136,98XXXX6349,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Notification Sent
INC0121,QR0236,TN94AB4443,98XXXX4858,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0122,QR0262,TN26AB3726,98XXXX5130,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Notification Sent
INC0123,QR0300,TN16AB5368,98XXXX9856,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0124,QR0132,TN73AB3394,98XXXX2479,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0125,QR0065,TN71AB1614,98XXXX7371,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0126,QR0015,TN97AB1989,98XXXX7874,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0127,QR0241,TN54AB8949,98XXXX8383,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0128,QR0271,TN43AB7000,98XXXX5731,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0129,QR0168,TN94AB8095,98XXXX3134,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Notification Sent
INC0130,QR0086,TN55AB5814,98XXXX5024,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Priority Alert Sent
INC0131,QR0085,TN34AB9738,98XXXX9339,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0132,QR0044,TN52AB6820,98XXXX9987,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0133,QR0053,TN55AB4568,98XXXX6578,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0134,QR0199,TN95AB4499,98XXXX3982,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Notification Sent
INC0135,QR0042,TN92AB9861,98XXXX2195,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0136,QR0201,TN32AB7974,98XXXX6340,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Priority Alert Sent
INC0137,QR0051,TN35AB1983,98XXXX1439,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Notification Sent
INC0138,QR0036,TN83AB7532,98XXXX3853,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0139,QR0074,TN80AB8234,98XXXX1015,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Priority Alert Sent
INC0140,QR0203,TN83AB7067,98XXXX4227,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Commercial Complex.,Notification Sent
INC0141,QR0167,TN37AB4544,98XXXX2633,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0142,QR0103,TN18AB1408,98XXXX7603,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0143,QR0271,TN43AB7000,98XXXX5731,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Notification Sent
INC0144,QR0082,TN40AB7393,98XXXX6333,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Notification Sent
INC0145,QR0115,TN85AB7931,98XXXX4107,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Notification Sent
INC0146,QR0020,TN55AB5357,98XXXX4086,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0147,QR0258,TN23AB7236,98XXXX2334,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Narrow Lane.,Notification Sent
INC0148,QR0171,TN27AB5449,98XXXX9966,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Shop Entrance.,Notification Sent
INC0149,QR0280,TN41AB6448,98XXXX3198,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Notification Sent
INC0150,QR0017,TN32AB7683,98XXXX6854,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Shop Entrance. Please respond urgently.,Notification Sent
INC0151,QR0001,TN92AB6556,98XXXX3539,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Notification Sent
INC0152,QR0261,TN69AB2835,98XXXX1712,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Notification Sent
INC0153,QR0276,TN38AB4703,98XXXX5604,Emergency Critical,Escalation Required,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Priority Alert Sent
INC0154,QR0275,TN42AB1860,98XXXX1799,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0155,QR0163,TN73AB6354,98XXXX9946,Medium Priority,Standard Workflow,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Notification Sent
INC0156,QR0188,TN64AB3375,98XXXX6117,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0157,QR0217,TN62AB7466,98XXXX4937,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Notification Sent
INC0158,QR0227,TN80AB6667,98XXXX9337,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Narrow Lane.,Notification Sent
INC0159,QR0014,TN59AB5865,98XXXX6441,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0160,QR0039,TN42AB7633,98XXXX9874,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Residential Street.,Notification Sent
INC0161,QR0067,TN70AB3121,98XXXX1086,High Priority,Standard Workflow,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Notification Sent
INC0162,QR0050,TN76AB9772,98XXXX6762,Low Priority,Standard Workflow,[INFO] Minor obstruction reported near Apartment Gate.,Notification Sent
