Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,Urban_Risk_Score,Governance_Risk_Level,Estimated_Response_Time,Assigned_Authority,Governance_Recommendation
INC0023,Two Wheeler,Emergency Exit,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-24 11:01:55.447713,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0238,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0024,Van,School Zone,Kochi,Gate Blockage,Yes,Critical,2026-05-26 14:53:55.447717,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0012,120,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0025,Van,Hospital Entrance,Chennai,Roadside Congestion,No,Critical,2026-05-23 19:49:55.447722,65,Medium Priority,Standard obstruction resolution workflow,QR0252,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0026,Two Wheeler,Narrow Lane,Kochi,Gate Blockage,Yes,Critical,2026-05-26 05:59:55.447727,85,High Priority,Urgent owner notification required,QR0190,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0027,Mini Truck,School Zone,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-22 07:25:55.447732,80,High Priority,Urgent owner notification required,QR0205,45,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0028,Mini Truck,Pedestrian Sidewalk,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-25 23:33:55.447736,70,Medium Priority,Standard obstruction resolution workflow,QR0101,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0029,Taxi,Commercial Complex,Kochi,Gate Blockage,Yes,Critical,2026-05-26 06:22:55.447741,105,High Priority,Urgent owner notification required,QR0263,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0030,Two Wheeler,School Zone,Hyderabad,Roadside Congestion,No,Low,2026-05-22 00:15:55.447745,65,Medium Priority,Standard obstruction resolution workflow,QR0068,35,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0031,Mini Truck,School Zone,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-21 23:02:55.447750,80,High Priority,Urgent owner notification required,QR0072,45,Low Risk Zone,Routine Monitoring,School Safety Traffic Division,Routine monitoring sufficient.
INC0032,Car,Pedestrian Sidewalk,Chennai,Illegal Parking,Yes,Critical,2026-05-20 20:11:55.447755,70,Medium Priority,Standard obstruction resolution workflow,QR0245,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0033,Two Wheeler,Pedestrian Sidewalk,Bangalore,Gate Blockage,No,Medium,2026-05-24 15:01:55.447759,40,Low Priority,Low urgency monitoring,QR0191,65,Moderate Risk Zone,Within 2 Hours,Urban Pedestrian Safety Authority,Standard obstruction resolution workflow recommended.
INC0034,Mini Truck,Apartment Gate,Kochi,Roadside Congestion,Yes,Critical,2026-05-24 15:44:55.447764,90,High Priority,Urgent owner notification required,QR0003,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0035,Two Wheeler,Emergency Exit,Delhi,Gate Blockage,Yes,Critical,2026-05-22 09:43:55.447768,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0212,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0036,Mini Truck,Traffic Junction,Chennai,Emergency Access Blocked,No,Critical,2026-05-24 07:10:55.447773,75,Medium Priority,Standard obstruction resolution workflow,QR0214,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0037,Auto Rickshaw,School Zone,Kochi,Gate Blockage,Yes,Critical,2026-05-27 01:25:55.447777,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0035,120,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0038,Two Wheeler,Commercial Complex,Delhi,Illegal Parking,Yes,Critical,2026-05-20 23:25:55.447782,90,High Priority,Urgent owner notification required,QR0248,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0039,Van,School Zone,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-25 01:05:55.447787,95,High Priority,Urgent owner notification required,QR0009,55,Moderate Risk Zone,Within 2 Hours,School Safety Traffic Division,Standard obstruction resolution workflow recommended.
INC0040,Taxi,Residential Street,Mumbai,Gate Blockage,Yes,Critical,2026-05-21 23:00:55.447791,85,High Priority,Urgent owner notification required,QR0230,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0041,Taxi,Emergency Exit,Chennai,Pedestrian Path Obstructed,No,Critical,2026-05-23 12:57:55.447796,95,High Priority,Urgent owner notification required,QR0284,80,High Monitoring Zone,Within 30 Minutes,Disaster Response Control Unit,Continuous monitoring and owner notification required.
INC0042,Taxi,Hospital Entrance,Hyderabad,Gate Blockage,No,Critical,2026-05-23 15:23:55.447801,80,High Priority,Urgent owner notification required,QR0111,80,High Monitoring Zone,Within 30 Minutes,Emergency Medical Access Authority,Continuous monitoring and owner notification required.
INC0043,Auto Rickshaw,Emergency Exit,Bangalore,Illegal Parking,Yes,Critical,2026-05-23 04:38:55.447805,110,High Priority,Urgent owner notification required,QR0020,100,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0044,Van,Hospital Entrance,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 21:33:55.447810,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0022,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0045,Taxi,Narrow Lane,Bangalore,Illegal Parking,Yes,Critical,2026-05-21 00:57:55.447815,70,Medium Priority,Standard obstruction resolution workflow,QR0265,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0046,Car,Hospital Entrance,Mumbai,Illegal Parking,No,Critical,2026-05-23 10:24:55.447820,65,Medium Priority,Standard obstruction resolution workflow,QR0271,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0047,Mini Truck,Apartment Gate,Mumbai,Commercial Entrance Blocked,No,Medium,2026-05-25 19:33:55.447825,60,Medium Priority,Standard obstruction resolution workflow,QR0101,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0048,Van,Residential Street,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-23 16:12:55.447829,100,High Priority,Urgent owner notification required,QR0004,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0049,Mini Truck,Traffic Junction,Hyderabad,Commercial Entrance Blocked,No,Medium,2026-05-21 13:00:55.447834,60,Medium Priority,Standard obstruction resolution workflow,QR0235,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0050,Taxi,Traffic Junction,Bangalore,Roadside Congestion,No,Low,2026-05-21 05:54:55.447839,45,Low Priority,Low urgency monitoring,QR0113,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0051,Mini Truck,Emergency Exit,Delhi,Emergency Access Blocked,Yes,Critical,2026-05-20 20:46:55.447843,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0286,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0052,Auto Rickshaw,Apartment Gate,Pune,Illegal Parking,No,Low,2026-05-21 10:02:55.447848,45,Low Priority,Low urgency monitoring,QR0009,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0053,Two Wheeler,Residential Street,Mumbai,Gate Blockage,Yes,Critical,2026-05-24 23:06:55.447853,85,High Priority,Urgent owner notification required,QR0222,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0054,Taxi,Pedestrian Sidewalk,Mumbai,Illegal Parking,Yes,Critical,2026-05-21 11:43:55.447857,70,Medium Priority,Standard obstruction resolution workflow,QR0131,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0055,Two Wheeler,Commercial Complex,Chennai,Roadside Congestion,No,Low,2026-05-22 21:05:55.447862,45,Low Priority,Low urgency monitoring,QR0159,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0056,Taxi,School Zone,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-24 16:16:55.447867,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0082,120,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0057,Car,Hospital Entrance,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-26 14:47:55.447871,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0215,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0058,Van,Shop Entrance,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-26 13:26:55.447876,55,Medium Priority,Standard obstruction resolution workflow,QR0298,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0059,Auto Rickshaw,Pedestrian Sidewalk,Mumbai,Emergency Access Blocked,Yes,Critical,2026-05-26 17:12:55.447880,100,High Priority,Urgent owner notification required,QR0156,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0060,Auto Rickshaw,Apartment Gate,Hyderabad,Illegal Parking,No,Low,2026-05-20 22:15:55.447885,45,Low Priority,Low urgency monitoring,QR0156,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0061,Van,Residential Street,Hyderabad,Gate Blockage,No,Medium,2026-05-22 23:32:55.447890,40,Low Priority,Low urgency monitoring,QR0188,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0062,Van,Pedestrian Sidewalk,Bangalore,Gate Blockage,Yes,Critical,2026-05-21 07:30:55.447895,85,High Priority,Urgent owner notification required,QR0038,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0063,Auto Rickshaw,Emergency Exit,Bangalore,Roadside Congestion,Yes,Critical,2026-05-21 10:16:55.447899,110,High Priority,Urgent owner notification required,QR0206,100,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0064,Auto Rickshaw,Emergency Exit,Kochi,Pedestrian Path Obstructed,Yes,Critical,2026-05-27 01:03:55.447904,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0014,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0065,Car,Pedestrian Sidewalk,Mumbai,Roadside Congestion,No,Low,2026-05-23 07:58:55.447909,25,Low Priority,Low urgency monitoring,QR0073,35,Low Risk Zone,Routine Monitoring,Urban Pedestrian Safety Authority,Routine monitoring sufficient.
INC0066,Two Wheeler,Traffic Junction,Kochi,Commercial Entrance Blocked,Yes,Critical,2026-05-27 07:07:55.447914,105,High Priority,Urgent owner notification required,QR0146,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0067,Taxi,Emergency Exit,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-23 10:16:55.447918,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0105,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0068,Mini Truck,Commercial Complex,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-24 01:39:55.447924,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0064,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0069,Taxi,Traffic Junction,Kochi,Emergency Access Blocked,Yes,Critical,2026-05-21 12:21:55.447928,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0107,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0070,Auto Rickshaw,Residential Street,Pune,Commercial Entrance Blocked,No,Medium,2026-05-23 17:50:55.447933,40,Low Priority,Low urgency monitoring,QR0169,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0071,Taxi,Apartment Gate,Kochi,Pedestrian Path Obstructed,No,Low,2026-05-26 10:06:55.447937,75,Medium Priority,Standard obstruction resolution workflow,QR0036,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0072,Car,Pedestrian Sidewalk,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-23 17:29:55.447942,70,Medium Priority,Standard obstruction resolution workflow,QR0081,100,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0073,Mini Truck,Commercial Complex,Bangalore,Pedestrian Path Obstructed,Yes,Critical,2026-05-27 12:39:55.447946,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0116,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0074,Van,Residential Street,Delhi,Gate Blockage,Yes,Critical,2026-05-24 21:51:55.447952,85,High Priority,Urgent owner notification required,QR0216,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0075,Auto Rickshaw,Apartment Gate,Chennai,Commercial Entrance Blocked,Yes,Critical,2026-05-23 15:06:55.447956,105,High Priority,Urgent owner notification required,QR0290,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0076,Van,School Zone,Chennai,Roadside Congestion,Yes,Critical,2026-05-23 00:01:55.447961,110,High Priority,Urgent owner notification required,QR0226,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
INC0077,Auto Rickshaw,Apartment Gate,Bangalore,Commercial Entrance Blocked,No,Medium,2026-05-22 11:08:55.447966,60,Medium Priority,Standard obstruction resolution workflow,QR0005,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0078,Van,Shop Entrance,Hyderabad,Emergency Access Blocked,No,Critical,2026-05-26 08:13:55.447970,55,Medium Priority,Standard obstruction resolution workflow,QR0292,55,Moderate Risk Zone,Within 2 Hours,Municipal Traffic Management Authority,Standard obstruction resolution workflow recommended.
INC0079,Two Wheeler,Apartment Gate,Mumbai,Emergency Access Blocked,Yes,Critical,2026-05-26 11:45:55.447975,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0047,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0080,Taxi,Traffic Junction,Delhi,Commercial Entrance Blocked,No,Medium,2026-05-22 07:46:55.447980,60,Medium Priority,Standard obstruction resolution workflow,QR0002,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0081,Auto Rickshaw,Residential Street,Mumbai,Pedestrian Path Obstructed,Yes,Critical,2026-05-22 23:58:55.447984,100,High Priority,Urgent owner notification required,QR0034,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0082,Taxi,Apartment Gate,Mumbai,Roadside Congestion,Yes,Critical,2026-05-25 08:09:55.447989,90,High Priority,Urgent owner notification required,QR0172,75,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0083,Taxi,Emergency Exit,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-27 01:08:55.447994,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0001,120,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0084,Mini Truck,Narrow Lane,Pune,Emergency Access Blocked,Yes,Critical,2026-05-26 16:29:55.447999,100,High Priority,Urgent owner notification required,QR0015,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0085,Car,Residential Street,Chennai,Roadside Congestion,No,Low,2026-05-27 11:13:55.448003,25,Low Priority,Low urgency monitoring,QR0291,10,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0086,Van,Commercial Complex,Pune,Gate Blockage,No,Medium,2026-05-21 08:51:55.448008,60,Medium Priority,Standard obstruction resolution workflow,QR0254,40,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0087,Taxi,Commercial Complex,Kochi,Pedestrian Path Obstructed,Yes,Critical,2026-05-21 09:35:55.448013,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0297,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0088,Two Wheeler,Hospital Entrance,Delhi,Illegal Parking,No,Critical,2026-05-25 07:22:55.448018,65,Medium Priority,Standard obstruction resolution workflow,QR0179,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0089,Car,Hospital Entrance,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-26 19:13:55.448023,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0050,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0090,Car,Shop Entrance,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-26 09:02:55.448027,40,Low Priority,Low urgency monitoring,QR0283,20,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0091,Van,School Zone,Delhi,Emergency Access Blocked,No,Critical,2026-05-25 04:09:55.448032,95,High Priority,Urgent owner notification required,QR0108,80,High Monitoring Zone,Within 30 Minutes,School Safety Traffic Division,Continuous monitoring and owner notification required.
INC0092,Auto Rickshaw,Hospital Entrance,Hyderabad,Pedestrian Path Obstructed,Yes,Critical,2026-05-25 17:36:55.448037,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0050,120,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0093,Two Wheeler,Pedestrian Sidewalk,Chennai,Illegal Parking,No,Low,2026-05-27 12:40:55.448041,25,Low Priority,Low urgency monitoring,QR0138,35,Low Risk Zone,Routine Monitoring,Urban Pedestrian Safety Authority,Routine monitoring sufficient.
INC0094,Auto Rickshaw,Hospital Entrance,Delhi,Illegal Parking,Yes,Critical,2026-05-20 21:30:55.448046,110,High Priority,Urgent owner notification required,QR0178,100,Critical Governance Zone,Immediate Response,Emergency Medical Access Authority,Immediate enforcement and emergency clearance required.
INC0095,Mini Truck,Emergency Exit,Hyderabad,Roadside Congestion,Yes,Critical,2026-05-22 10:42:55.448051,110,High Priority,Urgent owner notification required,QR0211,100,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0096,Mini Truck,Commercial Complex,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-26 20:55:55.448065,75,Medium Priority,Standard obstruction resolution workflow,QR0051,30,Low Risk Zone,Routine Monitoring,Municipal Traffic Management Authority,Routine monitoring sufficient.
INC0097,Mini Truck,Hospital Entrance,Delhi,Roadside Congestion,No,Critical,2026-05-24 23:09:55.448072,65,Medium Priority,Standard obstruction resolution workflow,QR0110,60,Moderate Risk Zone,Within 2 Hours,Emergency Medical Access Authority,Standard obstruction resolution workflow recommended.
INC0098,Two Wheeler,Emergency Exit,Chennai,Illegal Parking,Yes,Critical,2026-05-26 16:03:55.448077,110,High Priority,Urgent owner notification required,QR0109,100,Critical Governance Zone,Immediate Response,Disaster Response Control Unit,Immediate enforcement and emergency clearance required.
INC0099,Car,Pedestrian Sidewalk,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-22 21:06:55.448081,100,High Priority,Urgent owner notification required,QR0273,120,Critical Governance Zone,Immediate Response,Urban Pedestrian Safety Authority,Immediate enforcement and emergency clearance required.
INC0100,Two Wheeler,Commercial Complex,Hyderabad,Emergency Access Blocked,Yes,Critical,2026-05-22 08:42:55.448086,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0021,95,High Monitoring Zone,Within 30 Minutes,Municipal Traffic Management Authority,Continuous monitoring and owner notification required.
INC0101,Taxi,School Zone,Mumbai,Commercial Entrance Blocked,Yes,Critical,2026-05-27 00:45:55.448090,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0002,100,Critical Governance Zone,Immediate Response,School Safety Traffic Division,Immediate enforcement and emergency clearance required.
