Incident_ID,Vehicle_Type,Location,City,Obstruction_Type,Emergency_Status,Severity_Level,Reported_Time,Priority_Score,AI_Priority_Level,Recommended_Action,Assigned_QR_ID,QR_ID,Owner_ID,Vehicle_Number,Masked_Contact,Registered_City,Anonymous_Notification,Emergency_Escalation,Location_Encoded,Priority_Encoded,Obstruction_Encoded,Emergency_Flag,Severity_Score,Accessibility_Risk_Index,Urban_Cluster,Anomaly_Flag,Anomaly_Status
INC0011,Mini Truck,Residential Street,Chennai,Pedestrian Path Obstructed,No,Low,2026-05-25 08:29:31.623146,55,Medium Priority,Standard obstruction resolution workflow,QR0081,QR0081,USER0081,TN57AB9450,98XXXX9122,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Standard Workflow,6,3,4,0,1,37.5,3,1,Normal Incident
INC0012,Two Wheeler,School Zone,Hyderabad,Pedestrian Path Obstructed,Yes,Critical,2026-05-27 02:02:31.623151,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0044,QR0044,USER0044,TN54AB7170,98XXXX6642,Kochi,[CRITICAL ALERT] Your vehicle is causing an obstruction near School Zone. Immediate attention required.,Escalation Required,7,0,4,1,3,130.0,1,-1,Critical Urban Anomaly
INC0013,Car,Apartment Gate,Pune,Commercial Entrance Blocked,No,Medium,2026-05-26 08:01:31.623156,60,Medium Priority,Standard obstruction resolution workflow,QR0088,QR0088,USER0088,TN60AB5878,98XXXX7758,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow,0,3,0,0,2,50.0,3,1,Normal Incident
INC0014,Van,Commercial Complex,Kochi,Gate Blockage,Yes,Critical,2026-05-26 07:19:31.623161,105,High Priority,Urgent owner notification required,QR0068,QR0068,USER0068,TN12AB9047,98XXXX8702,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Standard Workflow,1,1,2,1,3,112.5,1,1,Normal Incident
INC0015,Mini Truck,Apartment Gate,Bangalore,Emergency Access Blocked,No,Critical,2026-05-24 17:38:31.623166,75,Medium Priority,Standard obstruction resolution workflow,QR0026,QR0026,USER0026,TN79AB1619,98XXXX2689,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow,0,3,1,0,3,67.5,3,1,Normal Incident
INC0016,Mini Truck,Residential Street,Pune,Gate Blockage,No,Medium,2026-05-25 21:23:31.623219,40,Low Priority,Low urgency monitoring,QR0217,QR0217,USER0217,TN21AB3887,98XXXX9546,Mumbai,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow,6,2,2,0,2,40.0,2,1,Normal Incident
INC0017,Auto Rickshaw,Apartment Gate,Bangalore,Pedestrian Path Obstructed,Yes,Critical,2026-05-25 21:20:31.623229,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0158,QR0158,USER0158,TN92AB7486,98XXXX3732,Chennai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Escalation Required,0,0,4,1,3,120.0,1,1,Normal Incident
INC0018,Two Wheeler,Pedestrian Sidewalk,Bangalore,Roadside Congestion,Yes,Critical,2026-05-23 21:05:31.623244,70,Medium Priority,Standard obstruction resolution workflow,QR0008,QR0008,USER0008,TN44AB1837,98XXXX3830,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow,5,3,5,0,3,65.0,3,1,Normal Incident
INC0019,Car,Hospital Entrance,Chennai,Illegal Parking,Yes,Critical,2026-05-27 05:29:31.623249,110,High Priority,Urgent owner notification required,QR0198,QR0198,USER0198,TN45AB3179,98XXXX9451,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow,3,1,3,1,3,115.0,1,1,Normal Incident
INC0020,Van,Apartment Gate,Hyderabad,Illegal Parking,Yes,Critical,2026-05-22 14:18:31.623254,90,High Priority,Urgent owner notification required,QR0176,QR0176,USER0176,TN71AB7558,98XXXX4232,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow,0,1,3,1,3,105.0,0,1,Normal Incident
INC0021,Taxi,Pedestrian Sidewalk,Chennai,Roadside Congestion,Yes,Critical,2026-05-23 12:34:31.623259,70,Medium Priority,Standard obstruction resolution workflow,QR0255,QR0255,USER0255,TN85AB9163,98XXXX4268,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow,5,3,5,0,3,65.0,3,1,Normal Incident
INC0022,Car,Hospital Entrance,Bangalore,Commercial Entrance Blocked,No,Critical,2026-05-25 07:39:31.623264,80,High Priority,Urgent owner notification required,QR0147,QR0147,USER0147,TN83AB2638,98XXXX7631,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow,3,1,0,1,3,100.0,0,1,Normal Incident
INC0023,Auto Rickshaw,Narrow Lane,Delhi,Gate Blockage,No,Medium,2026-05-26 05:35:31.623271,40,Low Priority,Low urgency monitoring,QR0103,QR0103,USER0103,TN56AB2570,98XXXX2004,Kochi,[INFO] Minor obstruction reported near Narrow Lane.,Standard Workflow,4,2,2,0,2,40.0,2,1,Normal Incident
INC0024,Taxi,Shop Entrance,Bangalore,Commercial Entrance Blocked,No,Medium,2026-05-27 02:02:31.623276,40,Low Priority,Low urgency monitoring,QR0238,QR0238,USER0238,TN74AB5061,98XXXX4916,Bangalore,[INFO] Minor obstruction reported near Shop Entrance.,Standard Workflow,8,2,0,0,2,40.0,2,1,Normal Incident
INC0025,Mini Truck,Pedestrian Sidewalk,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-22 18:00:31.623282,100,High Priority,Urgent owner notification required,QR0252,QR0252,USER0252,TN73AB1477,98XXXX9038,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Standard Workflow,5,1,1,1,3,110.0,0,1,Normal Incident
INC0026,Auto Rickshaw,Shop Entrance,Kochi,Illegal Parking,No,Low,2026-05-21 21:44:31.623287,25,Low Priority,Low urgency monitoring,QR0001,QR0001,USER0001,TN51AB1465,98XXXX1303,Kochi,[INFO] Minor obstruction reported near Shop Entrance.,Standard Workflow,8,2,3,0,1,22.5,2,1,Normal Incident
INC0027,Taxi,Traffic Junction,Kochi,Illegal Parking,Yes,Critical,2026-05-22 00:41:31.623292,90,High Priority,Urgent owner notification required,QR0151,QR0151,USER0151,TN16AB9340,98XXXX7108,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Standard Workflow,9,1,3,1,3,105.0,0,1,Normal Incident
INC0028,Taxi,Hospital Entrance,Hyderabad,Gate Blockage,Yes,Critical,2026-05-22 03:22:31.623297,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0042,QR0042,USER0042,TN95AB7563,98XXXX8733,Mumbai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required,3,0,2,1,3,122.5,1,1,Normal Incident
INC0029,Taxi,Residential Street,Chennai,Gate Blockage,No,Medium,2026-05-24 03:17:31.623302,40,Low Priority,Low urgency monitoring,QR0115,QR0115,USER0115,TN59AB2114,98XXXX5527,Mumbai,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow,6,2,2,0,2,40.0,2,1,Normal Incident
INC0030,Taxi,Commercial Complex,Delhi,Commercial Entrance Blocked,No,Medium,2026-05-24 18:46:31.623307,60,Medium Priority,Standard obstruction resolution workflow,QR0117,QR0117,USER0117,TN23AB1133,98XXXX3237,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Standard Workflow,1,3,0,0,2,50.0,3,1,Normal Incident
INC0031,Car,Commercial Complex,Mumbai,Emergency Access Blocked,No,Critical,2026-05-23 05:25:31.623311,75,Medium Priority,Standard obstruction resolution workflow,QR0123,QR0123,USER0123,TN25AB8340,98XXXX5256,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Commercial Complex.,Standard Workflow,1,3,1,0,3,67.5,3,1,Normal Incident
INC0032,Taxi,Shop Entrance,Pune,Roadside Congestion,No,Low,2026-05-22 01:53:31.623316,25,Low Priority,Low urgency monitoring,QR0138,QR0138,USER0138,TN32AB4422,98XXXX6360,Delhi,[INFO] Minor obstruction reported near Shop Entrance.,Standard Workflow,8,2,5,0,1,22.5,2,1,Normal Incident
INC0033,Mini Truck,Residential Street,Mumbai,Gate Blockage,Yes,Critical,2026-05-24 17:40:31.623321,85,High Priority,Urgent owner notification required,QR0176,QR0176,USER0176,TN71AB7558,98XXXX4232,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow,6,1,2,1,3,102.5,0,1,Normal Incident
INC0034,Auto Rickshaw,Residential Street,Delhi,Roadside Congestion,No,Low,2026-05-25 09:10:31.623326,25,Low Priority,Low urgency monitoring,QR0120,QR0120,USER0120,TN77AB1063,98XXXX7712,Pune,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow,6,2,5,0,1,22.5,2,1,Normal Incident
INC0035,Auto Rickshaw,Residential Street,Hyderabad,Illegal Parking,Yes,Critical,2026-05-26 13:08:31.623330,70,Medium Priority,Standard obstruction resolution workflow,QR0110,QR0110,USER0110,TN16AB4225,98XXXX9694,Kochi,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Standard Workflow,6,3,3,0,3,65.0,3,1,Normal Incident
INC0036,Auto Rickshaw,Traffic Junction,Pune,Commercial Entrance Blocked,No,Medium,2026-05-25 06:10:31.623335,60,Medium Priority,Standard obstruction resolution workflow,QR0197,QR0197,USER0197,TN91AB5218,98XXXX9448,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow,9,3,0,0,2,50.0,3,1,Normal Incident
INC0037,Car,Apartment Gate,Bangalore,Roadside Congestion,Yes,Critical,2026-05-22 04:57:31.623340,90,High Priority,Urgent owner notification required,QR0107,QR0107,USER0107,TN74AB6003,98XXXX1786,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow,0,1,5,1,3,105.0,0,1,Normal Incident
INC0038,Two Wheeler,School Zone,Hyderabad,Gate Blockage,No,Medium,2026-05-25 17:42:31.623345,80,High Priority,Urgent owner notification required,QR0200,QR0200,USER0200,TN51AB2491,98XXXX1053,Pune,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow,7,1,2,1,2,90.0,0,1,Normal Incident
INC0039,Mini Truck,Traffic Junction,Hyderabad,Commercial Entrance Blocked,Yes,Critical,2026-05-25 09:44:31.623350,105,High Priority,Urgent owner notification required,QR0016,QR0016,USER0016,TN52AB5583,98XXXX3812,Kochi,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Standard Workflow,9,1,0,1,3,112.5,1,1,Normal Incident
INC0040,Taxi,Apartment Gate,Delhi,Commercial Entrance Blocked,No,Medium,2026-05-22 12:43:31.623355,60,Medium Priority,Standard obstruction resolution workflow,QR0192,QR0192,USER0192,TN52AB8001,98XXXX4490,Mumbai,[NOTICE] Your vehicle may be causing access inconvenience near Apartment Gate.,Standard Workflow,0,3,0,0,2,50.0,3,1,Normal Incident
INC0041,Van,School Zone,Delhi,Illegal Parking,Yes,Critical,2026-05-25 22:45:31.623360,110,High Priority,Urgent owner notification required,QR0123,QR0123,USER0123,TN25AB8340,98XXXX5256,Delhi,[HIGH PRIORITY] Your vehicle is currently blocking access near School Zone. Please respond urgently.,Standard Workflow,7,1,3,1,3,115.0,1,1,Normal Incident
INC0042,Mini Truck,Apartment Gate,Chennai,Emergency Access Blocked,Yes,Critical,2026-05-21 23:57:31.623365,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0273,QR0273,USER0273,TN84AB7377,98XXXX8956,Bangalore,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Escalation Required,0,0,1,1,3,120.0,1,1,Normal Incident
INC0043,Taxi,Apartment Gate,Kochi,Illegal Parking,Yes,Critical,2026-05-25 16:58:31.623369,90,High Priority,Urgent owner notification required,QR0021,QR0021,USER0021,TN52AB8629,98XXXX2783,Kochi,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow,0,1,3,1,3,105.0,0,1,Normal Incident
INC0044,Car,Pedestrian Sidewalk,Pune,Emergency Access Blocked,No,Critical,2026-05-27 01:40:31.623374,55,Medium Priority,Standard obstruction resolution workflow,QR0212,QR0212,USER0212,TN13AB6812,98XXXX2791,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow,5,3,1,0,3,57.5,3,1,Normal Incident
INC0045,Mini Truck,Traffic Junction,Delhi,Roadside Congestion,No,Low,2026-05-27 03:49:31.623379,45,Low Priority,Low urgency monitoring,QR0116,QR0116,USER0116,TN64AB6110,98XXXX9734,Kochi,[INFO] Minor obstruction reported near Traffic Junction.,Standard Workflow,9,2,5,0,1,32.5,2,1,Normal Incident
INC0046,Two Wheeler,Traffic Junction,Hyderabad,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 10:11:31.623384,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0242,QR0242,USER0242,TN98AB8303,98XXXX1971,Hyderabad,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Escalation Required,9,0,4,1,3,120.0,1,1,Normal Incident
INC0047,Auto Rickshaw,Apartment Gate,Bangalore,Commercial Entrance Blocked,Yes,Critical,2026-05-22 06:13:31.623389,105,High Priority,Urgent owner notification required,QR0105,QR0105,USER0105,TN97AB8622,98XXXX4285,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow,0,1,0,1,3,112.5,1,1,Normal Incident
INC0048,Van,Traffic Junction,Chennai,Gate Blockage,Yes,Critical,2026-05-22 23:28:31.623394,105,High Priority,Urgent owner notification required,QR0143,QR0143,USER0143,TN79AB1919,98XXXX1610,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Traffic Junction. Please respond urgently.,Standard Workflow,9,1,2,1,3,112.5,1,1,Normal Incident
INC0049,Car,Traffic Junction,Mumbai,Pedestrian Path Obstructed,No,Low,2026-05-24 13:46:31.623399,75,Medium Priority,Standard obstruction resolution workflow,QR0005,QR0005,USER0005,TN76AB9846,98XXXX6086,Bangalore,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow,9,3,4,0,1,47.5,3,1,Normal Incident
INC0050,Mini Truck,School Zone,Bangalore,Roadside Congestion,No,Low,2026-05-24 18:47:31.623404,65,Medium Priority,Standard obstruction resolution workflow,QR0036,QR0036,USER0036,TN59AB2885,98XXXX8293,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near School Zone.,Standard Workflow,7,3,5,0,1,42.5,3,1,Normal Incident
INC0051,Taxi,Residential Street,Mumbai,Commercial Entrance Blocked,Yes,Critical,2026-05-21 17:47:31.623408,85,High Priority,Urgent owner notification required,QR0279,QR0279,USER0279,TN73AB2255,98XXXX3922,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow,6,1,0,1,3,102.5,0,1,Normal Incident
INC0052,Two Wheeler,Emergency Exit,Hyderabad,Pedestrian Path Obstructed,No,Critical,2026-05-27 09:48:31.623413,95,High Priority,Urgent owner notification required,QR0001,QR0001,USER0001,TN51AB1465,98XXXX1303,Kochi,[HIGH PRIORITY] Your vehicle is currently blocking access near Emergency Exit. Please respond urgently.,Standard Workflow,2,1,4,1,3,107.5,0,1,Normal Incident
INC0053,Taxi,Commercial Complex,Hyderabad,Gate Blockage,Yes,Critical,2026-05-26 18:48:31.623418,105,High Priority,Urgent owner notification required,QR0053,QR0053,USER0053,TN53AB3028,98XXXX3699,Hyderabad,[HIGH PRIORITY] Your vehicle is currently blocking access near Commercial Complex. Please respond urgently.,Standard Workflow,1,1,2,1,3,112.5,1,1,Normal Incident
INC0054,Car,Residential Street,Hyderabad,Pedestrian Path Obstructed,No,Low,2026-05-27 05:50:31.623423,55,Medium Priority,Standard obstruction resolution workflow,QR0244,QR0244,USER0244,TN30AB3836,98XXXX5099,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Residential Street.,Standard Workflow,6,3,4,0,1,37.5,3,1,Normal Incident
INC0055,Two Wheeler,Hospital Entrance,Chennai,Roadside Congestion,No,Critical,2026-05-20 20:53:31.623428,65,Medium Priority,Standard obstruction resolution workflow,QR0175,QR0175,USER0175,TN13AB3790,98XXXX6521,Bangalore,[NOTICE] Your vehicle may be causing access inconvenience near Hospital Entrance.,Standard Workflow,3,3,5,0,3,62.5,3,1,Normal Incident
INC0056,Van,Emergency Exit,Pune,Emergency Access Blocked,Yes,Critical,2026-05-24 00:00:31.623432,140,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0185,QR0185,USER0185,TN98AB7691,98XXXX8422,Mumbai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Emergency Exit. Immediate attention required.,Escalation Required,2,0,1,1,3,130.0,1,-1,Critical Urban Anomaly
INC0057,Car,Pedestrian Sidewalk,Pune,Illegal Parking,No,Low,2026-05-25 14:51:31.623437,25,Low Priority,Low urgency monitoring,QR0250,QR0250,USER0250,TN23AB3097,98XXXX5174,Hyderabad,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Standard Workflow,5,2,3,0,1,22.5,2,1,Normal Incident
INC0058,Car,Narrow Lane,Chennai,Gate Blockage,No,Medium,2026-05-21 22:18:31.623442,40,Low Priority,Low urgency monitoring,QR0088,QR0088,USER0088,TN60AB5878,98XXXX7758,Hyderabad,[INFO] Minor obstruction reported near Narrow Lane.,Standard Workflow,4,2,2,0,2,40.0,2,1,Normal Incident
INC0059,Auto Rickshaw,Residential Street,Kochi,Commercial Entrance Blocked,Yes,Critical,2026-05-27 07:54:31.623447,85,High Priority,Urgent owner notification required,QR0157,QR0157,USER0157,TN92AB6168,98XXXX4135,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Residential Street. Please respond urgently.,Standard Workflow,6,1,0,1,3,102.5,0,1,Normal Incident
INC0060,Mini Truck,Traffic Junction,Bangalore,Emergency Access Blocked,Yes,Critical,2026-05-26 12:10:31.623452,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0089,QR0089,USER0089,TN13AB1017,98XXXX6999,Mumbai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Traffic Junction. Immediate attention required.,Escalation Required,9,0,1,1,3,120.0,1,1,Normal Incident
INC0061,Auto Rickshaw,Residential Street,Kochi,Commercial Entrance Blocked,No,Medium,2026-05-23 12:20:31.623456,40,Low Priority,Low urgency monitoring,QR0055,QR0055,USER0055,TN36AB3406,98XXXX8440,Pune,[INFO] Minor obstruction reported near Residential Street.,Standard Workflow,6,2,0,0,2,40.0,2,1,Normal Incident
INC0062,Mini Truck,Emergency Exit,Delhi,Roadside Congestion,No,Critical,2026-05-24 21:47:31.623461,65,Medium Priority,Standard obstruction resolution workflow,QR0011,QR0011,USER0011,TN69AB1725,98XXXX8707,Kochi,[NOTICE] Your vehicle may be causing access inconvenience near Emergency Exit.,Standard Workflow,2,3,5,0,3,62.5,3,1,Normal Incident
INC0063,Two Wheeler,Pedestrian Sidewalk,Kochi,Commercial Entrance Blocked,Yes,Critical,2026-05-23 08:34:31.623466,85,High Priority,Urgent owner notification required,QR0155,QR0155,USER0155,TN51AB4039,98XXXX4684,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Pedestrian Sidewalk. Please respond urgently.,Standard Workflow,5,1,0,1,3,102.5,0,1,Normal Incident
INC0064,Taxi,Hospital Entrance,Delhi,Commercial Entrance Blocked,Yes,Critical,2026-05-21 07:51:31.623470,125,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0264,QR0264,USER0264,TN34AB6453,98XXXX3209,Mumbai,[CRITICAL ALERT] Your vehicle is causing an obstruction near Hospital Entrance. Immediate attention required.,Escalation Required,3,0,0,1,3,122.5,1,1,Normal Incident
INC0065,Mini Truck,Traffic Junction,Delhi,Commercial Entrance Blocked,No,Medium,2026-05-27 00:25:31.623475,60,Medium Priority,Standard obstruction resolution workflow,QR0198,QR0198,USER0198,TN45AB3179,98XXXX9451,Pune,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow,9,3,0,0,2,50.0,3,1,Normal Incident
INC0066,Van,Traffic Junction,Bangalore,Pedestrian Path Obstructed,No,Low,2026-05-23 22:35:31.623480,75,Medium Priority,Standard obstruction resolution workflow,QR0218,QR0218,USER0218,TN33AB2381,98XXXX1317,Delhi,[NOTICE] Your vehicle may be causing access inconvenience near Traffic Junction.,Standard Workflow,9,3,4,0,1,47.5,3,1,Normal Incident
INC0067,Van,Pedestrian Sidewalk,Pune,Emergency Access Blocked,No,Critical,2026-05-25 20:52:31.623485,55,Medium Priority,Standard obstruction resolution workflow,QR0228,QR0228,USER0228,TN45AB8800,98XXXX3264,Hyderabad,[NOTICE] Your vehicle may be causing access inconvenience near Pedestrian Sidewalk.,Standard Workflow,5,3,1,0,3,57.5,3,1,Normal Incident
INC0068,Car,Apartment Gate,Chennai,Pedestrian Path Obstructed,Yes,Critical,2026-05-26 07:17:31.623490,120,Emergency Critical,Immediate owner notification + Emergency escalation recommended,QR0161,QR0161,USER0161,TN11AB7126,98XXXX8294,Delhi,[CRITICAL ALERT] Your vehicle is causing an obstruction near Apartment Gate. Immediate attention required.,Escalation Required,0,0,4,1,3,120.0,1,1,Normal Incident
INC0069,Taxi,Apartment Gate,Delhi,Roadside Congestion,No,Low,2026-05-26 10:24:31.623495,45,Low Priority,Low urgency monitoring,QR0270,QR0270,USER0270,TN50AB7628,98XXXX5894,Delhi,[INFO] Minor obstruction reported near Apartment Gate.,Standard Workflow,0,2,5,0,1,32.5,2,1,Normal Incident
INC0070,Two Wheeler,Pedestrian Sidewalk,Mumbai,Commercial Entrance Blocked,No,Medium,2026-05-25 05:35:31.623500,40,Low Priority,Low urgency monitoring,QR0040,QR0040,USER0040,TN66AB9838,98XXXX1829,Chennai,[INFO] Minor obstruction reported near Pedestrian Sidewalk.,Standard Workflow,5,2,0,0,2,40.0,2,1,Normal Incident
INC0071,Car,Apartment Gate,Delhi,Gate Blockage,Yes,Critical,2026-05-23 12:50:31.623504,105,High Priority,Urgent owner notification required,QR0197,QR0197,USER0197,TN91AB5218,98XXXX9448,Mumbai,[HIGH PRIORITY] Your vehicle is currently blocking access near Apartment Gate. Please respond urgently.,Standard Workflow,0,1,2,1,3,112.5,1,1,Normal Incident
INC0072,Auto Rickshaw,Traffic Junction,Hyderabad,Roadside Congestion,No,Low,2026-05-24 20:19:31.623509,45,Low Priority,Low urgency monitoring,QR0075,QR0075,USER0075,TN16AB5136,98XXXX6726,Hyderabad,[INFO] Minor obstruction reported near Traffic Junction.,Standard Workflow,9,2,5,0,1,32.5,2,1,Normal Incident
INC0073,Van,Hospital Entrance,Pune,Roadside Congestion,Yes,Critical,2026-05-27 03:51:31.623514,110,High Priority,Urgent owner notification required,QR0149,QR0149,USER0149,TN37AB3904,98XXXX7435,Chennai,[HIGH PRIORITY] Your vehicle is currently blocking access near Hospital Entrance. Please respond urgently.,Standard Workflow,3,1,5,1,3,115.0,1,1,Normal Incident
